uur,m1x,m1y,m2x,m2y,Mx,My
4999783,5849734333.754302,14661516079.366829,6906895689.076549,14469523732.11084,6254617517.48616,14681466836.562815
4999784,5861505688.823712,14597108220.778782,6888809815.991393,14424506765.563732,6254618671.96389,14681473942.616474
4999785,5883206847.889648,14534831376.536448,6867474215.83289,14380806535.522573,6254619441.331101,14681480915.087
4999786,5914484681.964018,14476335789.399593,6842975597.380024,14338658096.956978,6254619840.013127,14681487670.370491
4999787,5954672686.716668,14423214319.925598,6815417755.625313,14298292202.432405,6254619896.750508,14681494127.672232
4999788,6002801189.486356,14376930233.298538,6784921591.503062,14259934055.023802,6254619654.11816,14681500212.43654
4999789,6057628226.378789,14338747815.987782,6751625041.843769,14223802009.149084,6254619167.074082,14681505859.64478
4999790,6117689694.405576,14309672986.55471,6715682907.631699,14190106225.050983,6254618500.603562,14681511016.6442
4999791,6181364523.978182,14290410128.563662,6677266567.872935,14159047285.42767,6254617726.659427,14681515645.21436
4999792,6246948438.478164,14281339194.17139,6636563565.600599,14130814787.524708,6254616920.701419,14681519722.680212
4999793,6312728915.210214,14282514209.568853,6593777054.473163,14105585934.464823,6254616158.182566,14681523242.01807
4999794,6377054397.216079,14293681376.849653,6549125120.090549,14083524168.196552,6254615511.309266,14681526211.038307
4999795,6438392347.304748,14314312725.160172,6502840110.048213,14064777826.789986,6254615046.326234,14681528650.835705
4999796,6495373039.262118,14343650267.025557,6455167979.232752,14049478389.692945,6254614821.472265,14681530593.755856
4999797,6546818737.198479,14380755068.971134,6406366731.354066,14037738657.658182,6254614885.64648,14681532081.131945
4999798,6591758835.715449,14424555944.858335,6356704750.548025,14029651931.329988,6254615277.738025,14681533161.014044
4999799,6629432948.009366,14473894847.735153,6306459514.357608,14025291027.92475,6254616026.513298,14681533886.057848
4999800,6659285101.908996,14527566762.304384,6255916056.479018,14024707135.853231,6254617150.927953,14681534311.67633
4999801,6680951879.5733,14584352936.739738,6205365189.545161,14027928804.973093,6254618660.729983,14681534494.501398
4999802,6694246982.573553,14643047342.444254,6155101565.417795,14034961123.18779,6254620557.235138,14681534491.159529
4999803,6699144241.614917,14702476887.728138,6105421606.937206,14045785091.50033,6254622834.178776,14681534357.336336
4999804,6695760570.853289,14761516259.795895,6056621334.931755,14060357212.03127,6254625478.572981,14681534147.088524
4999805,6684339883.621251,14819098413.609087,6008994115.335011,14078609304.751429,6254628471.520455,14681533912.354921
4999806,6665238583.377374,14874221733.515179,5962828354.37102,14100448567.014555,6254631788.955592,14681533702.617958
4999807,6638912931.53269,14925954820.386578,5918405172.793663,14125757886.561327,6254635402.297754,14681533564.670465
4999808,6605908364.97062,14973439745.533073,5875996092.540589,14154396414.192623,6254639279.012492,14681533542.448067
4999809,6566850674.752083,15015894490.795322,5835860770.668224,14186200397.162548,6254643383.083972,14681533676.893272
4999810,6522438845.652909,15052615178.171518,5798244815.950394,14220984268.797777,6254647675.407163,14681534005.822998
4999811,6473439276.83392,15082978589.439705,5763377722.98109,14258541984.157167,6254652114.112048,14681534563.776218
4999812,6420681042.617081,15106445387.689352,5731470957.002976,14298648585.9459,6254656654.83509,14681535381.822762
4999813,6365051797.50356,15122564375.362503,5702716220.021087,14341061979.627176,6254661250.955778,14681536487.318039
4999814,6307493872.675167,15130978051.134321,5677283925.14279,14385524891.954042,6254665853.818915,14681537903.592009
4999815,6249000046.756121,15131429652.076082,5655321901.649017,14431766983.171904,6254670412.966386,14681539649.564362
4999816,6190608399.439461,15123771777.19212,5636954348.234372,14479507080.082182,6254674876.405813,14681541739.282234
4999817,6133395574.768745,15107976570.791893,5622281046.387627,14528455495.130196,6254679190.947481,14681544181.38233
4999818,6078467699.095159,15084147285.021229,5611376840.306942,14578316395.757536,6254683302.644883,14681546978.48688
4999819,6026948132.247737,15052530825.976849,5604291384.443419,14628790188.448994,6254687157.377528,14681550126.552933
4999820,5979961204.201252,15013530605.772654,5601049155.375598,14679575883.06787,6254690701.615987,14681553614.207762
4999821,5938611139.625283,14967718670.438583,5601649722.493617,14730373404.445925,6254693883.406848,14681557422.119661
4999822,5903955546.018735,14915845664.481627,5606068274.024674,14780885815.740211,6254696653.607052,14681561522.472805
4999823,5876973195.70388,14858846774.466991,5614256394.818751,14830821392.758,6254698967.3803835,14681565878.63508
4999824,5858526475.1255455,14797841452.074442,5626142982.365553,14879895413.830812,6254700785.941429,14681570445.125856
4999825,5849319913.084028,14734124325.092632,5641634820.0148535,14927831847.49571,6254702078.49272,14681575168.001034
4999826,5849856632.941309,14669144491.590193,5660617538.87199,14974365693.026527,6254702824.249746,14681579985.768261
4999827,5860395773.133858,14604472177.130556,5682957659.605765,15019244541.61976,6254703014.393097,14681584830.916546
4999828,5880916136.5940275,14541752042.787542,5708504120.253577,15062229538.458485,6254702653.74046,14681589632.089237
4999829,5911090869.458655,14482643860.075006,5737089650.25107,15103096452.781895,6254701761.903487,14681594316.848764
4999830,5950277841.504644,14428753869.196241,5768532252.2464905,15141636656.666922,6254700373.703009,14681598814.882145
4999831,5997529359.281595,14381562157.293232,5802636746.624559,15177657933.04921,6254698538.672882,14681603061.398087
4999832,6051622639.710721,14342352850.221003,5839196335.303192,15210985112.198202,6254696319.586373,14681607000.396042
4999833,6111109616.718851,14312154304.052887,5877994158.761286,15241460547.926102,6254693790.0729,14681610587.468721
4999834,6174381790.150359,14291695514.952627,5918804828.369994,15268944446.015835,6254691031.527525,14681613791.845121
4999835,6239743666.892733,14281382764.789398,5961395920.372372,15293315057.543724,6254688129.617069,14681616597.484682
4999836,6305487423.581946,14281297603.378532,6005529420.814635,15314468749.924696,6254685170.729978,14681619003.17044
4999837,6369961894.769459,14291214358.547258,6050963113.175886,15332319968.568567,6254682238.694677,14681621021.685993
4999838,6431630603.83578,14310633120.5679,6097451902.613748,15346801101.92757,6254679412.015182,14681622678.266668
4999839,6489115775.862302,14338822947.932869,6144749072.71049,15357862262.4093,6254676761.768083,14681624008.571829
4999840,6541227519.451077,14374869918.898392,6192607472.382446,15365470995.12816,6254674350.199255,14681625056.43095
4999841,6586979193.305375,14417725365.978552,6240780632.202424,15369611925.790253,6254672229.972477,14681625871.582636
4999842,6625591164.52728,14466250811.975843,6289023810.774301,15370286358.17676,6254670443.966109,14681626507.570122
