dag,m1x,m1y,m2x,m2y,Mx,My
852000,-4483966344990071.5,1262037985612511.0,795306849528289.9,-1499755177988654.0,216482878803.7119,38584230786.87436
853000,-4489229210089071.5,1263519248968511.0,796240305221032.1,-1501515449266929.2,216736966416.56592,38629517308.63041
854000,-4494492075188071.5,1265000512324511.0,797173760913618.6,-1503275720544891.0,216991054029.41992,38674803830.379814
855000,-4499754940287071.5,1266481775680511.0,798107216606057.2,-1505035991822569.5,217245141642.27393,38720090352.12259
856000,-4505017805386071.0,1267963039036511.0,799040672298348.2,-1506796263099965.0,217499229255.12793,38765376873.858734
857000,-4510280670485071.0,1269444302392511.0,799974127990488.0,-1508556534377078.2,217753316867.9875,38810663395.58728
858000,-4515543535584071.0,1270925565748511.0,800907583682462.2,-1510316805653909.5,218007404480.872,38855949917.30925
859000,-4520806400683071.0,1272406829104511.0,801841039374289.6,-1512077076930459.2,218261492093.75653,38901236439.024666
860000,-4526069265782071.0,1273888092460511.0,802774495065970.2,-1513837348206716.0,218515579706.64105,38946522960.73355
861000,-4531332130881071.0,1275369355816511.0,803707950757504.5,-1515597619482673.8,218769667319.52557,38991809482.43593
862000,-4536594995980071.0,1276850619172511.0,804641406448884.2,-1517357890758351.8,219023754932.4101,39037096004.13182
863000,-4541857861078123.0,1278331882528511.0,805574862140105.2,-1519118162033750.5,219277842545.29462,39082382525.82126
864000,-4547120726176123.0,1279813145884511.0,806508317831180.6,-1520878433308870.5,219531930158.17914,39127669047.504
865000,-4552383591274123.0,1281294409240347.0,807441773522110.5,-1522638704583712.2,219786017771.06366,39172955569.17937
866000,-4557646456372123.0,1282775672596097.0,808375229212895.1,-1524398975858276.0,220040105383.94818,39218242090.84832
867000,-4562909321470123.0,1284256935951847.0,809308684903529.5,-1526159247132562.2,220294192996.8327,39263528612.51089
868000,-4568172186568123.0,1285738199307597.0,810242140594004.6,-1527919518406554.2,220548280609.71722,39308815134.16708
869000,-4573435051666123.0,1287219462663347.0,811175596284335.2,-1529679789680261.0,220802368222.60175,39354101655.81694
870000,-4578697916764123.0,1288700726019097.0,812109051974521.6,-1531440060953692.0,221056455835.48627,39399388177.46048
871000,-4583960781862123.0,1290181989374847.0,813042507664564.0,-1533200332226847.8,221310543448.3708,39444674699.09744
872000,-4589223646960123.0,1291663252730597.0,813975963354462.5,-1534960603499729.0,221564631061.2553,39489961220.72706
873000,-4594486512058123.0,1293144516086347.0,814909419044203.9,-1536720874772336.0,221818718674.13983,39535247742.3504
874000,-4599749377156123.0,1294625779442097.0,815842874733797.2,-1538481146044669.2,222072806287.0473,39580534263.96751
875000,-4605012242254123.0,1296107042797847.0,816776330423247.6,-1540241417316729.2,222326893899.96234,39625820785.578384
876000,-4610275107352123.0,1297588306153597.0,817709786112555.1,-1542001688588516.5,222580981512.87738,39671107307.18307
877000,-4615537972450123.0,1299069569509347.0,818643241801720.1,-1543761959860024.2,222835069125.79242,39716393828.78158
878000,-4620800837548123.0,1300550832865097.0,819576697490742.8,-1545522231131245.8,223089156738.70746,39761680350.372765
879000,-4626063702646123.0,1302032096220847.0,820510153179611.8,-1547282502402196.5,223343244351.6225,39806966871.957504
880000,-4631326567744123.0,1303513359576597.0,821443608868333.6,-1549042773672876.8,223597331964.53754,39852253393.53612
881000,-4636589432842123.0,1304994622932347.0,822377064556913.9,-1550803044943287.0,223851419577.45258,39897539915.108635
882000,-4641852297940123.0,1306475886288097.0,823310520245352.9,-1552563316213427.8,224105507190.3676,39942826436.67508
883000,-4647115163038123.0,1307957149643847.0,824243975933650.9,-1554323587483299.5,224359594803.28265,39988112958.23548
884000,-4652378028136123.0,1309438412999597.0,825177431621808.0,-1556083858752902.8,224613682416.1977,40033399479.78852
885000,-4657640893234123.0,1310919676355347.0,826110887309824.5,-1557844130022238.0,224867770029.11273,40078686001.33527
886000,-4662903758332123.0,1312400939711097.0,827044342997686.2,-1559604401291305.8,225121857642.02777,40123972522.87603
887000,-4668166623430123.0,1313882203066778.2,827977798685407.0,-1561364672560106.5,225375945254.9428,40169259044.41081
888000,-4673429488527281.0,1315363466422278.2,828911254372988.0,-1563124943828640.8,225630032867.85785,40214545565.93965
889000,-4678692353624281.0,1316844729777778.2,829844710060429.5,-1564885215096909.0,225884120480.7729,40259832087.46217
890000,-4683955218721281.0,1318325993133278.2,830778165747731.6,-1566645486364899.0,226138208093.68793,40305118608.97746
891000,-4689218083818281.0,1319807256488778.2,831711621434894.6,-1568405757632622.0,226392295706.62302,40350405130.48686
892000,-4694480948915281.0,1321288519844278.2,832645077121918.8,-1570166028900081.0,226646383319.56857,40395691651.990395
893000,-4699743814012281.0,1322769783199778.2,833578532808801.2,-1571926300167276.2,226900470932.51413,40440978173.48808
894000,-4705006679109281.0,1324251046555278.2,834511988495535.0,-1573686571434208.5,227154558545.4597,40486264694.97996
895000,-4710269544206281.0,1325732309910778.2,835445444182130.8,-1575446842700878.2,227408646158.40524,40531551216.46433
896000,-4715532409303281.0,1327213573266278.2,836378899868588.8,-1577207113967286.0,227662733771.3508,40576837737.94279
897000,-4720795274400281.0,1328694836621778.2,837312355554909.2,-1578967385233432.0,227916821384.29636,40622124259.41548
898000,-4726058139497281.0,1330176099977278.2,838245811241092.4,-1580727656499317.0,228170908997.2419,40667410780.88244
899000,-4731321004594281.0,1331657363332778.2,839179266927138.4,-1582487927764941.5,228424996610.18747,40712697302.34368
900000,-4736583869691281.0,1333138626688278.2,840112722613047.5,-1584248199030306.0,228679084223.13303,40757983823.79754
901000,-4741846734788281.0,1334619890043778.2,841046178298820.0,-1586008470295411.0,228933171836.07858,40803270345.24547
902000,-4747109599885281.0,1336101153399278.2,841979633984456.0,-1587768741560257.0,229187259449.02414,40848556866.687744
