uur,vx_c,vx_b,vx_ster
2530,-31326.214162065327,2116.72424792479,271.08988187411296
2531,-10002.595974273652,6430.268774612857,206.48742539630769
2532,20808.00905271872,10679.91828887202,124.78093869044777
2533,47924.916554703595,14815.63287008397,50.54845851414794
2534,59838.03755022121,18785.776623305625,5.299449080592915
2535,59438.75134316908,22543.11920739447,-16.01603978326478
2536,53104.365965922974,26041.078949532817,-24.874311379298348
2537,44583.37381973865,29232.378030303185,-27.904199898370596
2538,35519.32814185467,32069.575007191295,-27.855396393386254
2539,26555.431504212742,34505.78963505206,-25.63781900309647
2540,17914.166813032803,36495.48966579828,-21.394154512829036
2541,9647.830474849581,37995.412286850566,-14.966853521602863
2542,1743.5594522702677,38965.66933608092,-6.098120732706159
2543,-5831.532164718518,39371.05490019746,5.47925045565221
2544,-13109.151942673681,39182.54750282549,19.99400033595184
2545,-20106.972379672243,38378.9720517813,37.60296174068088
2546,-26816.050878834496,36948.75687323041,58.35757063953684
2547,-33182.07646811919,34891.68918101285,82.15901219171407
2548,-39071.63497264615,32220.54117422021,108.68652374807587
2549,-44207.367144294854,28962.41346707257,137.27004452705233
2550,-48040.18195835705,25159.62880798007,166.64953371479288
2551,-49499.86837644253,20870.013361796824,194.51384169565713
2552,-46556.26189982445,16166.430786058183,216.69492877577412
2553,-35772.49386789893,11135.489662289165,226.35234841936386
2554,-13511.236320863118,5875.422297071258,216.2081063161164
2555,17349.709064461604,493.1833571762636,190.93662602869352
2556,43136.48408508872,-4899.252644404536,175.073745404258
2557,55218.72840758572,-10189.274480726936,183.85932215326287
2558,56634.63552784154,-15267.948342414249,211.05641440500574
2559,52475.71245838864,-20033.818689252803,246.6889021354087
2560,45841.693163959506,-24396.18990289191,284.51349659534696
2561,38227.79234142187,-28277.723427593275,321.3214981790702
2562,30303.33113460805,-31616.174582480933,355.5144335470055
2563,22353.23997608758,-34365.218266567936,386.295467690332
2564,14486.6000666799,-36494.42547301722,413.28504502066943
2565,6732.391079537516,-37988.523485721475,436.3401400783478
2566,-915.3742238862751,-38846.10928154143,455.46354979304704
2567,-8474.532986291193,-39077.99665151833,470.7516018005004
2568,-15960.081391906202,-38705.368607344724,482.3562445160737
2569,-23370.044051340923,-37757.8830546029,490.44789515111086
2570,-30664.728318096877,-36271.84726610124,495.16650376732315
2571,-37728.484218103724,-34288.540729905166,496.5412560990357
2572,-44292.52563723566,-31852.73029292764,494.33966338936517
2573,-49773.5669311829,-29011.388465616485,487.7627411573936
2574,-52939.222306661955,-25812.6017802365,474.822127549612
2575,-51291.65244090407,-22304.692526704115,451.1993469273447
2576,-40487.85482597247,-18535.967249995527,409.17626494709265
2577,-16533.898148590793,-14556.568917042356,341.6886607742739
2578,15116.2694382521,-10419.535192637717,259.0962679168219
2579,39516.86917395778,-6173.452452393133,189.22063847872244
2580,50929.11451889537,-1863.2252953886791,142.89856657947735
2581,53118.72771946028,2465.6490577607965,113.45902340814942
2582,50370.12540601392,6766.994893718389,93.27930898451464
2583,45196.75966112867,10994.369154299886,78.0011535425973
2584,38859.25660968936,15101.190052118462,65.57533359906756
